Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	721.0	1.0546232	0.4520803	2.6119747	-0.42959198	4000	0.0046619507	1.1970887	-5.1501775e-06	-0.062301368	2.7412663	1.5335083e-06	2.1726455688476562
1	0.0	0.0	0.0	0.0	608.2	1.006812	0.44767052	2.6374865	-0.32747018	8000	0.0009842645	1.0728441	-4.5169145e-06	-0.0635359	2.713127	1.4436245e-07	3.9358248710632324
2	0.0	0.0	0.0	0.0	969.75	0.9938669	0.43860838	2.610955	-0.573025	12000	0.010910831	1.0416561	-3.3606775e-06	-0.06443046	2.7511094	6.9478153e-07	5.65570592880249
3	0.0	0.0	0.0	0.0	781.25	0.90702784	0.41300467	2.5099962	-0.22318627	16000	0.004324954	0.8480279	-5.982816e-06	-0.052116126	2.7460752	6.6092605e-07	7.357182264328003
4	0.0	0.0	0.0	0.0	711.75	0.9529714	0.44198638	2.5456722	-0.26766223	20000	0.0007521473	0.97732985	-4.7124922e-06	-0.06753747	2.7306802	-1.7115477e-07	9.053537607192993
5	0.0	0.0	0.0	0.0	850.25	0.88866407	0.4526402	2.411037	-0.41053525	24000	0.018004496	0.8943404	-5.768932e-06	-0.06443074	2.7247338	-3.9926172e-07	10.76963472366333
6	0.0	0.0	0.0	0.0	903.25	0.7958608	0.45344132	2.4859676	-0.42114368	28000	0.007926641	0.7602364	-6.183982e-06	-0.055055797	2.7392077	1.9573868e-06	12.44391655921936
7	0.0	0.0	0.0	0.0	793.0	0.7396077	0.43399522	2.5163505	-0.49307603	32000	0.016111836	0.6583077	-8.24593e-06	-0.050877973	2.7232084	1.5202463e-06	14.157784700393677
8	0.0	0.0	0.0	0.0	841.5	0.7283263	0.4269203	2.3814352	-0.7747269	36000	0.004970696	0.6525905	-3.106892e-06	-0.058067337	2.7335143	5.1057344e-07	15.90760850906372
9	0.0	0.0	0.0	0.0	879.0	0.75582457	0.43937495	2.4753013	-0.43409422	40000	-0.0057875365	0.7315184	-4.5634806e-06	-0.06257321	2.725762	-3.1903386e-07	17.82845711708069
