Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	91.77228	15.247296	121.33314	24.089565	4000	0.0	7371.8076	0.0	-6984.615	0.0	0.0	2.072380304336548
1	0.0	0.0	0.0	0.0	1000.0	9.294193	6.098893	24.599817	-28.667011	8000	0.0	114.18236	0.0	-93.67833	0.0	0.0	3.774684190750122
2	0.0	0.0	0.0	0.0	1000.0	0.8217463	3.840828	11.73906	-28.715618	12000	0.0	15.64329	0.0	-7.605839	0.0	0.0	5.458311319351196
3	0.0	0.0	0.0	0.0	1000.0	0.17763641	2.683514	8.337814	-24.075207	16000	0.0	7.594022	0.0	-3.1119623	0.0	0.0	7.19712233543396
4	0.0	0.0	0.0	0.0	1000.0	-0.023383833	2.0547073	6.922478	-20.273624	20000	0.0	4.264354	0.0	-1.5308499	0.0	0.0	8.931068420410156
5	0.0	0.0	0.0	0.0	1000.0	0.062722914	1.6854095	6.2081246	-16.975834	24000	0.0	2.9418495	0.0	-0.89085233	0.0	0.0	10.621012687683105
6	0.0	0.0	0.0	0.0	1000.0	-0.112860404	1.3807184	5.397564	-14.783406	28000	0.0	1.9631337	0.0	-0.43219492	0.0	0.0	12.331476926803589
7	0.0	0.0	0.0	0.0	1000.0	-0.04799717	1.2146939	5.035091	-12.982896	32000	0.0	1.4976997	0.0	-0.22691622	0.0	0.0	14.052673816680908
8	0.0	0.0	0.0	0.0	1000.0	-0.02221905	1.1233857	4.630814	-11.698456	36000	0.0	1.2785914	0.0	-0.15946859	0.0	0.0	15.759728908538818
9	0.0	0.0	0.0	0.0	1000.0	-0.095930494	1.0645576	4.1224837	-10.783716	40000	0.0	1.1913433	0.0	-0.11202513	0.0	0.0	17.70036792755127
