Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	899.0	1.0140792	0.43036407	2.6712227	-0.45465326	4000	0.0051178243	1.0664275	-0.0011020133	-0.9772097	2.7325046	-3.7952414e-05	2.1029398441314697
1	0.0	0.0	0.0	0.0	767.75	0.11902064	0.2108318	1.1535891	-0.61369795	8000	-0.010896407	0.059232093	-0.00093353144	-0.045379095	2.7122116	4.1855747e-05	3.8364439010620117
2	0.0	0.0	0.0	0.0	763.75	0.014848482	0.10792806	0.710562	-0.45203212	12000	-0.0020163786	0.013072215	-0.0012329486	-0.0070063574	2.7482855	0.000652137	5.623523473739624
3	0.0	0.0	0.0	0.0	769.5	-0.0062378636	0.0830603	0.7554318	-0.49305943	16000	-0.014413256	0.007005295	-0.0008146106	-0.0027804552	2.7166362	0.00017431666	7.420167684555054
4	0.0	0.0	0.0	0.0	992.75	0.000102499005	0.06735245	0.4996166	-0.45265433	20000	0.007430168	0.0047408696	-0.0010762798	-0.001900435	2.7274323	0.00027244777	9.159032583236694
5	0.0	0.0	0.0	0.0	968.75	0.0011987337	0.06279999	0.7689078	-0.37049973	24000	-0.0034761652	0.004379846	-0.0007477922	-0.0014205566	2.7319107	0.00048524924	10.880844116210938
6	0.0	0.0	0.0	0.0	718.25	-0.0006874371	0.04492102	0.3780776	-0.22692621	28000	-0.0056874733	0.0022185799	-0.0007908435	-0.00050951005	2.7274394	-3.46179e-05	12.601902723312378
7	0.0	0.0	0.0	0.0	877.0	-0.004685969	0.04462061	0.29709506	-0.26194555	32000	-0.0073590465	0.0020047268	-0.0009736889	-0.00035240754	2.728182	0.00013832617	14.329659461975098
8	0.0	0.0	0.0	0.0	794.5	-0.0023795604	0.03788718	0.75646514	-0.27590755	36000	-0.004419054	0.0014625012	-0.0007891222	-0.00027396053	2.739636	-5.666929e-05	16.06821608543396
9	0.0	0.0	0.0	0.0	811.75	4.832795e-05	0.030636704	0.23767938	-0.21343872	40000	0.0028650996	0.00094441976	-0.0008855489	-0.00014012374	2.7323384	0.00018400146	18.001436948776245
