Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	184.0	83.65479	25.280209	138.30292	7.402581	4000	3.171134e-08	7168.527	-3.171134e-08	-6912.904	2.1815353e-07	-2.1815353e-07	2.0049846172332764
1	0.0	0.0	0.0	0.0	185.1	3.444898	7.453328	18.18994	-35.816822	8000	0.0	67.25666	0.0	-55.499714	0.0	0.0	3.572427272796631
2	0.0	0.0	0.0	0.0	185.2	0.12866521	3.0911448	6.3657207	-24.536516	12000	0.0	9.723388	0.0	-4.3085413	0.0	0.0	5.1528544425964355
3	0.0	0.0	0.0	0.0	185.1	-0.020964682	2.3773897	4.246949	-20.226288	16000	0.0	5.6742735	0.0	-1.8857138	0.0	0.0	6.742249250411987
4	0.0	0.0	0.0	0.0	184.25	-0.009851128	1.9382672	3.4726784	-17.257278	20000	0.0	3.8197765	0.0	-1.145467	0.0	0.0	8.310194730758667
5	0.0	0.0	0.0	0.0	183.6	0.05144613	1.6317132	3.8656929	-14.718209	24000	0.0	2.6810799	0.0	-0.6733297	0.0	0.0	9.879749298095703
6	0.0	0.0	0.0	0.0	185.6	-0.009702331	1.4134003	3.7644727	-12.514269	28000	0.0	2.0083816	0.0	-0.4089505	0.0	0.0	11.460681915283203
7	0.0	0.0	0.0	0.0	185.7	0.027144767	1.2514404	3.834945	-10.717835	32000	0.0	2.628718	0.0	-0.37594402	0.0	0.0	13.053024053573608
8	0.0	0.0	0.0	0.0	186.15	-0.16190541	1.1774124	3.4569786	-9.145256	36000	0.0	1.4126902	0.0	-0.3132123	0.0	0.0	14.638800859451294
9	0.0	0.0	0.0	0.0	185.1	0.02348277	0.9992476	3.8773575	-7.626934	40000	0.0	1.0058103	0.0	-0.1646139	0.0	0.0	16.417494535446167
