Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	73.475815	19.893341	122.05745	21.115776	4000	0.0	5205.6284	0.0	-5049.5044	0.0	0.0	1.8424701690673828
1	0.0	0.0	0.0	0.0	1000.0	3.953228	6.506986	21.44139	-13.219851	8000	0.0	58.406597	0.0	-49.999077	0.0	0.0	3.3394346237182617
2	0.0	0.0	0.0	0.0	1000.0	0.59011644	2.0740247	6.8725443	-6.6927786	12000	0.0	4.633337	0.0	-3.1574059	0.0	0.0	4.8549745082855225
3	0.0	0.0	0.0	0.0	1000.0	0.077712044	1.1782622	3.391295	-6.288507	16000	0.0	1.3790619	0.0	-0.6688562	0.0	0.0	6.346372365951538
4	0.0	0.0	0.0	0.0	1000.0	0.086716354	0.85036576	2.9165707	-4.824251	20000	0.0	0.70415777	0.0	-0.3023084	0.0	0.0	7.827301502227783
5	0.0	0.0	0.0	0.0	1000.0	0.083925046	0.6356058	2.7407482	-3.4901402	24000	0.0	0.36566645	0.0	-0.15086845	0.0	0.0	9.346562385559082
6	0.0	0.0	0.0	0.0	1000.0	0.10608043	0.5008022	2.369797	-3.29866	28000	0.0	0.23093614	0.0	-0.091766074	0.0	0.0	10.852417945861816
7	0.0	0.0	0.0	0.0	1000.0	0.0861548	0.38875756	2.8805008	-2.5863724	32000	0.0	0.13019454	0.0	-0.052548528	0.0	0.0	12.374171733856201
8	0.0	0.0	0.0	0.0	1000.0	0.06499567	0.293713	2.1284056	-3.021325	36000	0.0	0.07433886	0.0	-0.029013518	0.0	0.0	13.862491369247437
9	0.0	0.0	0.0	0.0	1000.0	0.048334423	0.22976542	2.0237484	-2.8213024	40000	0.0	0.044899624	0.0	-0.01688362	0.0	0.0	15.534405708312988
