Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	73.17005	19.633787	120.58377	21.107338	4000	0.0	5028.7314	0.0	-4780.208	0.0	0.0	1.9641094207763672
1	0.0	0.0	0.0	0.0	1000.0	6.407885	6.3141937	23.028719	-11.688056	8000	0.0	74.93396	0.0	-68.89589	0.0	0.0	3.60795259475708
2	0.0	0.0	0.0	0.0	1000.0	0.67119795	2.017874	7.5495815	-6.4244404	12000	0.0	4.3728824	0.0	-2.9420733	0.0	0.0	5.153020858764648
3	0.0	0.0	0.0	0.0	1000.0	0.096218966	1.2147909	4.096683	-6.4791265	16000	0.0	1.4310505	0.0	-0.66026103	0.0	0.0	6.696419715881348
4	0.0	0.0	0.0	0.0	1000.0	0.119567364	0.88888365	3.0080588	-5.0269604	20000	0.0	0.7258379	0.0	-0.29997462	0.0	0.0	8.220327377319336
5	0.0	0.0	0.0	0.0	1000.0	0.104119875	0.68925947	2.6519046	-3.6030507	24000	0.0	0.4061705	0.0	-0.16314436	0.0	0.0	9.75896167755127
6	0.0	0.0	0.0	0.0	1000.0	0.10721348	0.5391894	2.4369292	-3.0837083	28000	0.0	0.24842769	0.0	-0.10109322	0.0	0.0	11.300818681716919
7	0.0	0.0	0.0	0.0	1000.0	0.08134302	0.42302826	2.6029458	-2.6468787	32000	0.0	0.15169623	0.0	-0.06130413	0.0	0.0	12.87343144416809
8	0.0	0.0	0.0	0.0	1000.0	0.06965989	0.33265787	2.3699594	-2.6762977	36000	0.0	0.09264809	0.0	-0.03956472	0.0	0.0	14.363398551940918
9	0.0	0.0	0.0	0.0	1000.0	0.041657075	0.2633033	1.8194138	-2.7408125	40000	0.0	0.055119626	0.0	-0.022300374	0.0	0.0	16.035216569900513
