Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	1.0091767	1.2248094	5.929729	-2.7436607	4000	0.036716096	2.514757	-0.0034395535	-2.485672	0.4500948	0.0059003434	2.156743288040161
1	0.0	0.0	0.0	0.0	1000.0	0.03024354	0.055741943	1.1366982	-0.45894784	8000	0.019761926	0.0038811108	-0.003334281	-0.0033874633	0.4607661	0.0036592213	3.948664903640747
2	0.0	0.0	0.0	0.0	1000.0	0.0043454533	0.02348487	0.5214295	-0.33983243	12000	0.022016466	0.0005685134	-0.0013944837	-0.00031745306	0.4996456	0.002124257	5.736739873886108
3	0.0	0.0	0.0	0.0	1000.0	7.064386e-05	0.019194521	0.6221232	-0.2476169	16000	0.019067995	0.00037067357	-0.002840727	-0.00021577383	0.55657846	0.003961615	7.472662448883057
4	0.0	0.0	0.0	0.0	1000.0	-0.00023386112	0.014172566	0.24208748	-0.17621967	20000	0.0026721843	0.0006794041	-0.00369788	-0.0001251182	0.5935551	0.0020507383	9.332983255386353
5	0.0	0.0	0.0	0.0	1000.0	0.0048321094	0.015804142	0.23534851	-0.40849212	24000	-0.007661351	0.00027795238	-0.0010420429	-0.00021222587	0.56829107	0.0025707828	11.281101942062378
6	0.0	0.0	0.0	0.0	1000.0	-0.00036229388	0.008829519	0.15832339	-0.13480106	28000	-0.013202073	8.234064e-05	-0.0019179247	-2.4207726e-05	0.5646019	0.00061124685	13.233110904693604
7	0.0	0.0	0.0	0.0	1000.0	-0.00021151625	0.010150107	0.35848415	-0.12271434	32000	0.016944744	0.00010606499	-0.0011198138	-3.8516933e-05	0.5367265	0.00023211248	15.198230266571045
8	0.0	0.0	0.0	0.0	1000.0	-0.00017380038	0.012750633	0.21670331	-0.53731537	36000	0.011959625	0.00016266445	-0.0006878976	-0.00011734222	0.59572756	0.001463258	17.17636013031006
9	0.0	0.0	0.0	0.0	1000.0	9.1963564e-05	0.006764878	0.08926672	-0.114032656	40000	-0.007606293	4.575526e-05	-0.0016983952	-1.33484045e-05	0.5432255	0.00066319713	19.238922357559204
