Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	875.0	0.71665686	0.2678971	1.7296524	-0.3412338	4000	0.0035487488	0.51442224	-0.002928657	-0.4824395	2.8058407	0.0023815907	2.1733875274658203
1	0.0	0.0	0.0	0.0	752.0	0.07675692	0.029866261	0.27847347	-0.11437795	8000	-0.004926203	0.0066816206	-0.0028099907	-0.0063982136	2.8088555	0.0009114741	3.893972158432007
2	0.0	0.0	0.0	0.0	989.25	0.0015359084	0.009146787	0.18524992	-0.10974133	12000	-0.0054201726	8.6770684e-05	-0.0026084539	-6.105128e-05	2.811306	-1.57303e-05	5.593723297119141
3	0.0	0.0	0.0	0.0	792.0	-0.00024655694	0.007239869	0.13680582	-0.14852715	16000	-0.0041612964	5.2727686e-05	-0.001088486	-3.0609885e-05	2.8082108	0.00010201447	7.295543432235718
4	0.0	0.0	0.0	0.0	853.0	0.00033729427	0.0053354176	0.1007828	-0.0796102	20000	-0.00572975	2.8708026e-05	-0.0014443174	-1.1485671e-05	2.805482	0.0017472762	9.058326959609985
5	0.0	0.0	0.0	0.0	680.75	-0.00023040325	0.003835337	0.036283497	-0.077685334	24000	0.0041831513	1.47617975e-05	-0.0005979809	-4.2776846e-06	2.8058066	0.0012857667	10.766371726989746
6	0.0	0.0	0.0	0.0	473.5	0.00018465306	0.0048587555	0.13030216	-0.10718841	28000	0.005639792	2.3704217e-05	-0.00095418736	-1.1192659e-05	2.7958593	0.000629607	12.488994121551514
7	0.0	0.0	0.0	0.0	844.5	-3.094689e-05	0.0037894924	0.045645103	-0.10874993	32000	-0.0044517005	1.4458523e-05	-0.0009443227	-4.088334e-06	2.793229	0.0012319633	14.199106216430664
8	0.0	0.0	0.0	0.0	794.0	0.00020984554	0.0032766839	0.052998174	-0.043350372	36000	-0.011781106	1.0867631e-05	-0.0007218908	-2.9960015e-06	2.8068888	0.00032614073	15.889106512069702
9	0.0	0.0	0.0	0.0	928.5	-0.00014898962	0.006051307	0.30818212	-0.11660336	40000	0.0075652744	3.6667687e-05	-0.00086949463	-1.4552969e-05	2.7990499	-4.895383e-05	17.81613779067993
