Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	185.2	83.53821	25.543413	138.30292	7.402581	4000	1.0682428e-08	7238.552	3.3713877e-07	-6934.995	5.0454737e-08	2.8903725	1.961646556854248
1	0.0	0.0	0.0	0.0	606.75	6.9832187	17.565739	61.12393	-46.67116	8000	1.4901161e-08	386.32275	-1.7229468e-07	-178.0505	2.8903725	3.33786e-08	3.518993616104126
2	0.0	0.0	0.0	0.0	523.2	0.26034164	14.239546	42.435276	-46.437386	12000	3.3527613e-08	206.9672	-1.4947727e-07	-62.092896	2.8903737	-8.141995e-08	5.071402072906494
3	0.0	0.0	0.0	0.0	767.75	4.034315	12.167435	37.81846	-38.761784	16000	-8.754432e-08	165.79826	-2.0535663e-07	-63.28709	2.8903742	4.595518e-08	6.597596168518066
4	0.0	0.0	0.0	0.0	552.8	-2.2942603	10.791656	32.120407	-34.640972	20000	-7.450581e-09	123.35373	-1.5459955e-07	-36.016777	2.8903728	-2.0843746e-07	8.144647121429443
5	0.0	0.0	0.0	0.0	661.5	-2.9725082	8.954991	27.136482	-31.843283	24000	-1.7881393e-07	84.13214	-1.7695129e-07	-24.839354	2.8903723	2.9683113e-08	9.678860664367676
6	0.0	0.0	0.0	0.0	757.5	-0.22275616	7.6870174	26.585606	-27.749855	28000	-1.4901161e-08	59.87256	-9.685755e-08	-14.154021	2.8903718	-1.795888e-07	11.232712984085083
7	0.0	0.0	0.0	0.0	951.0	-0.17700379	7.1934624	33.14761	-19.56243	32000	6.7055225e-08	53.115665	-2.5890768e-07	-10.987793	2.8903716	2.0527841e-07	12.742361307144165
8	0.0	0.0	0.0	0.0	688.6	-0.82809436	5.846713	23.65663	-31.919613	36000	-1.4901161e-07	35.79676	-2.5704503e-07	-6.443648	2.8903716	-1.3262033e-07	14.26731538772583
9	0.0	0.0	0.0	0.0	662.0	0.895572	5.5952916	22.264748	-22.998962	40000	-6.3329935e-08	32.453323	-3.5669655e-07	-5.61493	2.890372	1.5294552e-07	16.001426458358765
