Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	73.60313	19.884819	122.05745	21.115776	4000	0.0	4950.0117	-3.2410026e-07	-4498.0107	0.0	2.8903725	1.808584451675415
1	0.0	0.0	0.0	0.0	699.5	-2.139091	26.601385	81.36283	-84.48168	8000	-3.3527613e-08	691.00684	-9.694486e-08	-371.17532	2.8903725	2.1398067e-08	3.303114414215088
2	0.0	0.0	0.0	0.0	835.0	-0.18220136	19.120827	57.67929	-71.31826	12000	3.7252903e-08	386.46252	-2.5704503e-07	-91.466675	2.8903737	-2.310872e-07	4.79178261756897
3	0.0	0.0	0.0	0.0	735.75	-0.90451825	16.109816	55.3448	-50.386715	16000	-3.5390258e-08	270.055	-1.4225952e-07	-57.213486	2.8903732	9.0658666e-08	6.317466497421265
4	0.0	0.0	0.0	0.0	644.25	-0.09041623	13.712872	50.766506	-54.26922	20000	-1.5087426e-07	194.8655	-2.4586916e-07	-37.614243	2.890373	-1.5735625e-07	7.8329198360443115
5	0.0	0.0	0.0	0.0	524.5	0.23150726	13.17965	48.167866	-52.352055	24000	-2.3655593e-07	178.58913	-1.8393621e-07	-30.183239	2.8903718	1.5354156e-07	9.32592248916626
6	0.0	0.0	0.0	0.0	559.75	-1.0683713	10.993792	40.311142	-45.894115	28000	-1.4156103e-07	121.120415	-3.2782555e-07	-21.954165	2.8903723	-9.715557e-08	10.781522274017334
7	0.0	0.0	0.0	0.0	694.75	-0.004913513	10.777661	38.423096	-38.586224	32000	1.3783574e-07	121.52237	-2.1874439e-07	-18.39244	2.8903716	-1.01029876e-07	12.277548551559448
8	0.0	0.0	0.0	0.0	701.75	-0.83990127	10.155358	39.759907	-40.63702	36000	-4.1350722e-07	108.07331	-2.7101487e-07	-15.18195	2.8903723	2.8842686e-07	13.736083745956421
9	0.0	0.0	0.0	0.0	672.25	-0.17068778	8.317805	33.877647	-45.487362	40000	-3.2410026e-07	70.11899	-9.9185854e-08	-9.557812	2.8903716	-1.7815829e-07	15.385940790176392
