Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	1000.0	105.249405	17.063835	137.49957	29.422874	4000	0.0	9597.197	-1.6763806e-08	-9037.38	0.0	2.8903725	2.2189409732818604
1	0.0	0.0	0.0	0.0	594.8333	-13.260964	16.90647	24.258944	-66.77	8000	1.8626451e-08	438.87817	-1.4854595e-07	-360.69098	2.8903725	-1.5050173e-07	4.0657737255096436
2	0.0	0.0	0.0	0.0	817.25	-3.3597338	6.247642	28.538853	-34.703373	12000	-7.171184e-08	49.897015	-2.0023435e-07	-32.47119	2.8903742	2.361536e-07	5.956374168395996
3	0.0	0.0	0.0	0.0	724.0	-0.8733246	4.8536973	17.872087	-21.182735	16000	4.4703484e-08	24.31518	-2.2398308e-07	-10.288888	2.8903737	-1.2421609e-07	7.848114728927612
4	0.0	0.0	0.0	0.0	1000.0	0.017073456	3.525168	15.86097	-34.763412	20000	-2.2351742e-08	14.135435	-2.9429793e-07	-3.630756	2.8903732	2.8669831e-08	9.61080288887024
5	0.0	0.0	0.0	0.0	610.5	0.44175676	3.1638975	14.509729	-15.2198	24000	2.4959445e-07	10.426872	-2.0116568e-07	-2.5925412	2.890373	-6.1392793e-09	11.349459409713745
6	0.0	0.0	0.0	0.0	673.75	-0.17759901	2.9529922	11.905635	-14.907688	28000	-1.322478e-07	8.721258	-3.0361116e-07	-1.8119781	2.8903728	1.770854e-07	13.124535322189331
7	0.0	0.0	0.0	0.0	535.6	-0.09061343	2.7204046	13.882162	-14.8111925	32000	1.0430813e-07	7.3653536	-2.849847e-07	-1.6031625	2.8903723	-1.5664101e-07	14.896763801574707
8	0.0	0.0	0.0	0.0	667.5	0.24749745	2.3755	9.373032	-10.183973	36000	3.7252903e-08	5.711666	-1.648441e-07	-0.8709855	2.8903718	2.2351742e-07	16.702653646469116
9	0.0	0.0	0.0	0.0	740.0	0.22931948	2.1273901	9.572181	-9.533434	40000	-1.0058284e-07	4.98011	-1.6693957e-07	-0.7363715	2.8903732	1.5372038e-07	18.673242807388306
