Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	630.75	-0.13219379	0.07575505	0.122491136	-0.36036274	4000	0.004798459	0.022547249	-0.004800289	-0.022198265	2.615295	0.2750795	2.1818065643310547
1	0.0	0.0	0.0	0.0	712.25	-0.003985586	2.4749812e-07	-0.0039848858	-0.0039862245	8000	-4.4028275e-07	1.3940695e-05	-4.444737e-06	-1.3313936e-05	2.8903708	-1.2272001e-06	3.92787504196167
2	0.0	0.0	0.0	0.0	682.75	-0.00033766855	2.4804947e-07	-0.00033703673	-0.00033838442	12000	-8.34465e-07	9.815009e-08	-2.9951334e-06	-9.3590145e-08	2.8903744	9.0700394e-07	5.625295877456665
3	0.0	0.0	0.0	0.0	664.5	-3.188283e-05	2.520619e-07	-3.127905e-05	-3.2519398e-05	16000	2.8125942e-07	9.053358e-10	-2.5224872e-06	-8.7275e-10	2.8903701	6.645322e-07	7.367043495178223
4	0.0	0.0	0.0	0.0	938.25	-2.4259782e-06	2.5413593e-07	-1.7512939e-06	-3.013818e-06	20000	1.5869737e-06	5.2053665e-12	-2.8796494e-06	-4.924199e-12	2.8903728	1.2874603e-06	9.108636379241943
5	0.0	0.0	0.0	0.0	711.75	-1.9746827e-07	2.451324e-07	4.4947956e-07	-8.5885404e-07	24000	-2.3189932e-07	9.679755e-14	-2.7581118e-06	-2.7994209e-14	2.8903704	-4.7862528e-08	10.86129117012024
6	0.0	0.0	0.0	0.0	783.75	-5.8027233e-08	2.443189e-07	5.652546e-07	-6.9011e-07	28000	-3.0715019e-06	6.219068e-14	-3.872905e-06	-1.799159e-15	2.8903708	7.4702496e-07	12.605671405792236
7	0.0	0.0	0.0	0.0	755.2	-5.9351805e-08	2.588867e-07	6.88422e-07	-6.862101e-07	32000	8.5681677e-07	7.1841445e-14	-1.7592683e-06	-5.304195e-15	2.8903766	-8.559226e-08	14.308565139770508
8	0.0	0.0	0.0	0.0	649.75	3.502589e-08	2.5569418e-07	6.9115777e-07	-6.20028e-07	36000	4.824251e-07	7.0322376e-14	-4.2831525e-06	-4.0637422e-16	2.8903751	7.7283386e-07	16.05086612701416
9	0.0	0.0	0.0	0.0	799.0	1.880397e-08	2.479831e-07	6.684568e-07	-6.442424e-07	40000	-3.33786e-06	6.10314e-14	-6.7013316e-06	-4.0331474e-17	2.8903697	1.2678504e-06	18.005476474761963
