Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	939.75	0.7351426	0.29142094	1.7196561	-0.33788568	4000	0.0033583753	0.54418254	-0.0033585262	-0.5224551	2.8144684	0.075903095	2.1715054512023926
1	0.0	0.0	0.0	0.0	725.75	0.07264203	0.009230642	0.089493364	0.054512385	8000	-7.4505806e-08	0.004622187	-1.8626451e-07	-0.0043988097	2.8903725	1.2719632e-07	3.9258646965026855
2	0.0	0.0	0.0	0.0	698.2	0.0071179047	0.0048738765	0.02872731	-0.0018359382	12000	-2.2351742e-08	6.858997e-05	-2.0023435e-07	-4.89958e-05	2.8903742	-9.953976e-08	5.672179222106934
3	0.0	0.0	0.0	0.0	1000.0	-0.0001269622	0.0043712044	0.020779038	-0.0072106756	16000	-1.4901161e-08	1.9899071e-05	-3.0361116e-07	-4.1174417e-06	2.890373	-1.0013581e-07	7.439072847366333
4	0.0	0.0	0.0	0.0	874.0	0.000111285764	0.0037559571	0.01663649	-0.005540936	20000	-6.7055225e-08	1.5215035e-05	-1.7764978e-07	-2.9004457e-06	2.8903732	1.1622906e-07	9.184966802597046
5	0.0	0.0	0.0	0.0	736.25	0.00029148388	0.0033457975	0.01916478	-0.004535501	24000	5.401671e-08	1.1083253e-05	-2.5704503e-07	-2.1402784e-06	2.8903728	-1.8018484e-07	10.960434675216675
6	0.0	0.0	0.0	0.0	643.4	-0.000114774135	0.0029696478	0.017436398	-0.006155095	28000	-2.0675361e-07	8.646382e-06	-2.0675361e-07	-1.2896096e-06	2.8903713	7.492304e-08	12.711868047714233
7	0.0	0.0	0.0	0.0	784.75	0.0005574219	0.0032005666	0.017685294	-0.004951288	32000	2.2351742e-08	1.1169688e-05	-1.10128894e-07	-1.9001832e-06	2.8903713	7.808208e-09	14.445286989212036
8	0.0	0.0	0.0	0.0	536.0	0.00042299993	0.0028435912	0.01674275	-0.0061388426	36000	-2.0861626e-07	8.692687e-06	-2.0489097e-07	-9.720293e-07	2.8903716	1.4668703e-07	16.182329416275024
9	0.0	0.0	0.0	0.0	764.5	2.7840517e-05	0.0023512298	0.015353417	-0.0059400783	40000	9.336509e-08	5.529184e-06	-3.920868e-07	-5.531487e-07	2.8903716	-1.5306473e-07	18.127923250198364
