Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	783.5	1.0338098	0.44363466	2.7227716	-0.68911254	4000	-0.0033061188	1.2011703	0.003305843	-1.180921	2.72729	0.16308199	2.1539077758789062
1	0.0	0.0	0.0	0.0	436.4	0.045350853	0.029146217	0.22384667	-0.009266092	8000	-2.6077032e-08	0.0026120367	-4.838221e-07	-0.0020340108	2.8903742	1.9294023e-07	3.9177324771881104
2	0.0	0.0	0.0	0.0	841.5	0.004100923	0.023872929	0.17417717	-0.039145853	12000	-3.1664968e-08	0.00063615845	-1.8905848e-07	-0.00016432974	2.8903732	-4.1306016e-08	5.653375148773193
3	0.0	0.0	0.0	0.0	803.75	0.00088490726	0.021524688	0.16240892	-0.03678654	16000	8.940697e-08	0.00047781688	-1.8626451e-07	-0.000118365904	2.890372	1.2332201e-07	7.432493209838867
4	0.0	0.0	0.0	0.0	769.0	0.00072340487	0.017649315	0.13701998	-0.031603117	20000	7.450581e-09	0.0003146157	-1.8975697e-07	-6.0166414e-05	2.8903728	-1.3232231e-07	9.168426513671875
5	0.0	0.0	0.0	0.0	729.2	-0.0020297833	0.01466341	0.14803864	-0.030804995	24000	2.2351742e-07	0.0002219109	-2.6915222e-07	-5.406094e-05	2.8903723	2.0587444e-07	10.894222736358643
6	0.0	0.0	0.0	0.0	562.4	0.0003569603	0.013312422	0.11527098	-0.027849836	28000	7.450581e-09	0.00017787164	-2.4732435e-07	-2.6080736e-05	2.8903728	-7.671118e-08	12.658219814300537
7	0.0	0.0	0.0	0.0	611.8333	-0.000644588	0.013176707	0.15378216	-0.026093926	32000	1.08149834e-07	0.00017727396	-2.719462e-07	-2.541778e-05	2.8903718	-6.0498714e-08	14.451699256896973
8	0.0	0.0	0.0	0.0	556.6	-0.00036685666	0.010771478	0.10980838	-0.02541706	36000	-2.2817403e-08	0.000116133015	-1.8067658e-07	-1.664519e-05	2.8903728	3.4987927e-08	16.173537731170654
9	0.0	0.0	0.0	0.0	773.0	8.277432e-05	0.009888641	0.10985861	-0.022320395	40000	4.1909516e-08	9.8258606e-05	-1.6274862e-07	-1.3525016e-05	2.8903718	1.3494491e-07	18.127624988555908
