Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	0.0	0.0	0.0	0.0	190.66667	-6.054205	1.3838537	-0.74075925	-9.671391	4000	-0.108802035	35.134724	-0.0005059473	-34.107933	0.41728425	-3.8865448e-05	1.8127515316009521
1	0.0	0.0	0.0	0.0	289.0	-0.4083669	0.100242935	-0.14388864	-2.2069044	8000	-0.014086943	0.15800302	-6.724242e-05	-0.14307004	0.4843586	3.111935e-05	3.284017324447632
2	0.0	0.0	0.0	0.0	191.3125	-0.034765594	0.13209714	2.1804948	-1.7940361	12000	0.012187375	0.018569248	-3.171826e-05	-0.003374995	0.339233	7.847937e-05	4.740663528442383
3	0.0	0.0	0.0	0.0	190.25	-0.0028125404	0.118065	0.033267822	-1.6683129	16000	0.036218915	0.013950525	-3.845105e-05	-0.0014707603	0.3450656	1.7372693e-05	6.217469692230225
4	0.0	0.0	0.0	0.0	368.77777	0.003901497	0.09132601	2.202536	-1.575962	20000	-0.0022815154	0.008348578	-0.00010361057	-0.004342673	0.49820116	2.3957473e-06	7.676984071731567
5	0.0	0.0	0.0	0.0	273.8	-0.00048009053	0.059151962	0.6317804	-1.0073539	24000	0.031439558	0.0034991363	-4.0102284e-05	-0.00021407308	0.5229747	-5.7358626e-05	9.16244101524353
6	0.0	0.0	0.0	0.0	193.41176	-0.00272106	0.07981525	0.34111863	-1.60746	28000	0.031565443	0.0063797166	-1.2234785e-05	-0.0010338584	0.3559727	4.7279264e-06	10.658626317977905
7	0.0	0.0	0.0	0.0	395.75	0.0028160324	0.048198786	0.0052289893	-0.9599539	32000	0.025243236	0.002329451	-1.2075761e-05	-6.794417e-05	0.54528785	5.2224e-05	12.108286619186401
8	0.0	0.0	0.0	0.0	190.0625	-0.0021112228	0.06715919	0.002652587	-0.9495042	36000	0.03633633	0.004515858	-8.585863e-06	-0.00023910747	0.34074736	1.2344726e-05	13.610814809799194
9	0.0	0.0	0.0	0.0	370.22223	0.0020256347	0.048684876	0.21877122	-0.9226265	40000	0.0017276378	0.0023728493	-1.8050312e-05	-7.225186e-05	0.4961391	-2.6266734e-05	15.177456140518188
