Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	190.0	63.770424	280.0	140.0	561.6667	-138.55728	41.837593	-32.18574	-248.37372	4000	0.0046615573	29167.545	-4.017318e-06	-568.36914	0.018300898	3.0953113e-06	1.7602334022521973
1	163.33333	52.174923	280.0	140.0	449.33334	-128.956	39.90857	-29.177889	-225.6426	8000	0.0050616874	26612.066	-9.796233e-06	-554.146	0.019214433	-2.6375703e-06	3.2135424613952637
2	136.0	8.0	140.0	120.0	439.4	-130.76808	40.54832	-27.451902	-248.03719	12000	0.0037350983	26655.059	-4.1081512e-07	-574.58545	0.017265769	1.0304808e-07	4.657009601593018
3	172.0	54.184868	280.0	140.0	541.6	-135.11403	41.132393	-29.239594	-242.39001	16000	0.004895671	26594.832	-3.602916e-06	-620.8721	0.021964863	-8.633975e-06	6.1177802085876465
4	187.5	48.669807	250.0	140.0	483.5	-120.84202	39.699352	-23.679554	-239.06982	20000	0.008740021	26192.816	-1.7368933e-05	-611.2959	0.01756221	2.7323751e-05	7.55920934677124
5	202.5	63.393612	280.0	140.0	540.75	-116.85313	39.128433	-8.501719	-218.09167	24000	0.0041606063	25223.215	-1.4800811e-05	-632.2422	0.017291188	2.0693855e-05	9.044935464859009
6	176.66667	51.854496	250.0	140.0	493.16666	-118.32759	40.089245	-25.773193	-222.88759	28000	0.014268504	21712.268	-3.8155937e-05	-571.6211	0.023130791	-1.3196605e-05	10.49493670463562
7	165.0	51.55903	280.0	140.0	482.33334	-124.984795	41.427906	-17.454397	-233.8154	32000	0.0035227584	23465.844	-2.57803e-05	-682.3716	0.02116299	5.835219e-06	11.960078239440918
8	194.0	59.194595	280.0	140.0	537.4	-112.72094	40.11347	-2.4490862	-225.91562	36000	0.01254661	24396.467	-2.1575717e-05	-711.96436	0.021124523	-2.3537512e-05	13.440780401229858
9	162.85715	36.140316	220.0	140.0	411.42856	-117.06239	40.225094	-12.849127	-241.72433	40000	0.004208535	23275.312	-1.4443416e-05	-895.9414	0.021728322	1.4684134e-05	15.033331155776978
