Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	490.0	141.9507	620.0	270.0	870.25	-0.2668096	0.6631141	1.9726499	-2.3075688	4000	-0.0149439685	4679.521	-1.6903505e-06	-2.022461	1.6974337	1.218319e-07	1.735610008239746
1	515.0	187.2832	770.0	290.0	811.0	-0.13051726	0.6542533	1.546735	-2.3185697	8000	0.011497531	4377.654	-1.4081597e-06	-2.875061	1.6434566	2.6287884e-07	3.184138059616089
2	695.0	222.42976	880.0	320.0	839.25	-0.19472896	0.61131966	1.4921699	-2.3010416	12000	0.00011340529	9264.502	-3.0416995e-06	-3.9855347	1.6631436	-2.7105955e-07	4.578522682189941
3	510.0	345.03622	1060.0	110.0	811.5	-0.2288323	0.6368127	1.3494287	-2.3166096	16000	-0.021774322	6238.868	-4.839152e-06	-2.6331177	1.6293802	-1.0741093e-06	6.046066522598267
4	400.0	157.95569	580.0	210.0	776.5	-0.0892649	0.608068	1.4527546	-2.2536402	20000	-0.053140454	3777.82	-2.0852312e-06	-1.9890747	1.6565363	6.80916e-07	7.460850477218628
5	402.5	135.53136	590.0	230.0	703.5	-0.11893403	0.6028077	1.4991971	-2.3119066	24000	0.00043404847	3489.5063	-3.3071265e-06	-1.7177734	1.7052116	-9.816142e-08	8.871014595031738
6	327.5	70.133804	390.0	220.0	716.0	0.015520125	0.5900647	1.552626	-2.3068073	28000	-0.03416714	2185.9585	-4.7879294e-06	-1.6605835	1.6916356	-1.5434696e-06	10.299853563308716
7	432.5	69.77643	500.0	340.0	843.0	-0.07896161	0.63587964	1.5518138	-2.231988	32000	0.00679256	3744.3438	-2.330169e-06	-2.5316162	1.673729	-5.458295e-08	11.73347282409668
8	330.0	274.135	790.0	90.0	623.75	-0.09020374	0.62448716	1.2745285	-2.1266005	36000	-0.03183876	4733.0684	-1.0086223e-06	-3.2668457	1.6585263	6.540045e-07	13.153562068939209
9	380.0	131.7194	540.0	250.0	747.5	-0.016694212	0.6290964	1.8779114	-2.2667634	40000	-0.021735251	2782.7654	-1.3411045e-06	-2.50531	1.6823852	-5.571246e-07	14.750168800354004
