Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	470.0	312.32996	980.0	210.0	761.0	-0.16518015	0.7218468	2.0398743	-2.538089	4000	-0.043954343	4598.6904	-3.1534582e-06	-2.231903	1.670358	4.0575856e-08	1.7681238651275635
1	252.5	90.93267	380.0	140.0	597.75	-0.21246715	0.64472854	1.448599	-2.3987923	8000	-0.025424182	2424.7273	-2.6263297e-06	-1.5402832	1.6734462	2.3538323e-06	3.219292402267456
2	392.5	164.98106	610.0	200.0	724.5	-0.21157669	0.653342	1.4457592	-2.3980062	12000	-0.018866453	4348.281	-3.106892e-06	-2.089569	1.6571763	2.518147e-07	4.653690338134766
3	347.5	158.96147	600.0	160.0	783.5	-0.17199941	0.6836067	2.0428813	-2.3970077	16000	-0.007809866	3672.044	-4.634261e-06	-2.318634	1.629947	6.6965754e-08	6.111793041229248
4	245.0	65.76473	340.0	170.0	634.5	-0.096120134	0.6430996	1.76928	-2.3960452	20000	-0.0071200505	2195.1372	-5.641021e-06	-1.5064697	1.6862743	-6.650165e-07	7.548741579055786
5	397.5	161.30328	600.0	150.0	780.25	0.010883637	0.6735077	2.0454483	-2.3951824	24000	-0.022171602	3173.9275	-2.194196e-06	-2.2438965	1.6669034	4.1382015e-07	9.010272026062012
6	395.0	263.58112	840.0	180.0	724.75	-0.12105514	0.6613033	2.046598	-2.3941119	28000	-0.022668041	4407.079	-3.999099e-06	-2.5162354	1.6651535	-5.0582e-07	10.456010341644287
7	370.0	188.01596	690.0	230.0	741.75	-0.12213819	0.6690754	2.4585068	-2.392811	32000	-0.009806052	2790.04	-3.4198165e-06	-2.509491	1.6552904	6.15336e-07	11.882052659988403
8	620.0	363.5244	1170.0	180.0	806.75	0.016394198	0.64212114	1.610213	-2.3880777	36000	0.006038137	10047.586	-8.312985e-06	-4.8046265	1.6678905	-3.2741277e-06	13.31530499458313
9	655.0	610.34827	1710.0	250.0	725.25	-0.09558568	0.6587765	1.3628654	-2.382441	40000	0.03597991	24376.068	-2.734363e-06	-4.7770996	1.7152119	1.3487935e-06	14.935365676879883
