Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	77.5	4.3301272	80.0	70.0	689.75	-82.1966	43.421696	33.009384	-175.42014	4000	0.010207908	11184.559	-4.237634e-06	-920.52856	0.01958783	-1.0175936e-06	2.4114556312561035
1	77.5	4.3301272	80.0	70.0	690.75	-75.24829	43.638577	44.444607	-161.97107	8000	0.005988045	10718.027	-6.9547677e-06	-909.2019	0.016978957	-1.9653207e-05	4.317025184631348
2	80.0	0.0	80.0	80.0	681.75	-71.75364	42.673363	43.129395	-162.27774	12000	0.008436296	9573.947	-2.5157002e-05	-885.0481	0.022324944	-3.64192e-05	6.23031759262085
3	77.5	4.3301272	80.0	70.0	687.25	-65.80184	43.274075	55.43241	-150.01814	16000	0.010260046	8650.681	-1.0632211e-05	-787.7311	0.021633038	-1.7794153e-05	8.106196165084839
4	80.0	0.0	80.0	80.0	678.75	-61.96324	41.73079	42.155228	-151.65189	20000	0.009005602	8422.197	-3.3099204e-06	-795.2471	0.020890035	-4.9543723e-06	9.950303077697754
5	77.5	4.3301272	80.0	70.0	690.0	-53.869663	43.187016	66.56157	-143.76917	24000	0.0069545256	7185.37	-3.766222e-05	-673.95447	0.015285857	-3.1012692e-05	11.825438022613525
6	102.5	38.97114	170.0	80.0	694.25	-44.86154	43.84645	62.32729	-131.94446	28000	0.009003894	7619.4736	-9.678886e-06	-697.4552	0.01659572	-1.5646501e-05	13.672173500061035
7	80.0	0.0	80.0	80.0	683.0	-45.783726	41.039932	68.05197	-131.40627	32000	0.0086536035	6360.2266	-4.9457536e-05	-666.86865	0.017690688	-4.1848194e-05	15.526123285293579
8	77.5	4.3301272	80.0	70.0	685.5	-37.088142	43.117634	76.83668	-126.393654	36000	0.008027809	5430.3135	-7.5125135e-06	-468.8551	0.017490588	-9.3177205e-06	17.382692575454712
9	77.5	4.3301272	80.0	70.0	690.0	-31.723581	42.17365	82.73364	-113.73502	40000	0.007896187	4896.2173	-8.354813e-05	-408.77478	0.020031903	-9.00875e-05	19.582725763320923
