Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60.0	0.0	60.0	60.0	431.625	-114.29093	26.92876	-52.02633	-167.25728	4000	0.0	15751.522	0.0	-752.57764	0.0	0.0	2.0631422996520996
1	60.0	0.0	60.0	60.0	436.5	-111.114365	27.040388	-49.02204	-164.05208	8000	0.0	14991.58	0.0	-782.68066	0.0	0.0	3.736577033996582
2	60.0	0.0	60.0	60.0	432.0	-107.578514	26.837608	-45.855755	-160.6192	12000	0.0	14316.5	0.0	-798.48315	0.0	0.0	5.4044349193573
3	60.0	0.0	60.0	60.0	431.75	-104.01574	26.937277	-42.49425	-157.0575	16000	0.0	13356.059	0.0	-781.91064	0.0	0.0	7.066538095474243
4	60.0	0.0	60.0	60.0	431.625	-100.17489	26.892084	-39.08945	-153.42232	20000	0.0	12663.171	0.0	-1706.2153	0.0	0.0	8.695101737976074
5	60.0	0.0	60.0	60.0	434.25	-91.313736	29.000353	-28.0682	-148.48431	24000	0.0	11129.727	0.0	-9617.18	0.0	0.0	10.364670038223267
6	60.0	0.0	60.0	60.0	430.875	5.1003633	29.758318	75.07035	-70.88875	28000	0.0	1651.8928	0.0	-610.7212	0.0	0.0	12.030320882797241
7	60.0	0.0	60.0	60.0	430.5	12.28524	25.295544	78.53718	-59.988995	32000	0.0	1046.8682	0.0	-275.4085	0.0	0.0	13.691695213317871
8	60.0	0.0	60.0	60.0	435.125	12.842688	23.255417	74.69606	-55.712265	36000	0.0	774.79407	0.0	-122.37373	0.0	0.0	15.349353075027466
9	60.0	0.0	60.0	60.0	433.75	10.925209	22.610487	69.11174	-56.548428	40000	0.0	646.45935	0.0	-98.26172	0.0	0.0	17.23597741127014
