Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	88.333336	42.589775	170.0	60.0	484.0	0.892963	1.5002384	3.6493378	-3.7503955	4000	-0.011164088	577.1704	-1.0386575e-06	-2.971054	0.06929491	5.7670195e-07	2.038757801055908
1	67.5	19.843134	120.0	60.0	436.125	1.2783294	1.4005117	3.6171865	-2.4634938	8000	-0.017214425	390.4874	-3.0675437e-07	-2.5334854	0.05944353	2.9262057e-07	3.74938702583313
2	77.14286	27.105236	120.0	60.0	463.0	1.2145011	1.4359065	4.4275103	-2.7434752	12000	-0.0002441737	560.5992	-2.7539209e-06	-3.92865	0.06446338	3.0807104e-07	5.43988561630249
3	68.57143	20.995626	120.0	60.0	461.57144	1.2105608	1.4935101	4.0178485	-3.3751411	16000	-0.008054372	422.74197	-1.4440157e-06	-4.9953995	0.07296891	-5.0906863e-08	7.12933349609375
4	92.85714	40.957916	170.0	60.0	450.0	1.4174435	1.5417223	4.3335767	-3.6744804	20000	0.004390858	824.1312	-4.1634776e-06	-7.93396	0.07425435	-1.2425548e-07	8.875458240509033
5	90.0	30.0	120.0	60.0	468.66666	1.4773068	1.5960808	4.509007	-2.9867337	24000	0.018580958	1163.9329	-2.3227185e-06	-11.552315	0.079659	1.6932631e-08	10.58294129371643
6	88.75	39.82383	170.0	60.0	463.0	1.891509	1.5830154	5.0162697	-2.3809745	28000	-0.01574774	472.14243	-1.2848177e-06	-3.3789444	0.06655966	1.5475666e-07	12.304093360900879
7	90.0	30.0	120.0	60.0	479.83334	1.8955451	1.5537536	5.383294	-2.9142313	32000	-0.013044168	618.496	-1.3827812e-06	-4.817959	0.06951757	-9.137649e-08	14.021438121795654
8	124.0	44.542114	200.0	60.0	593.8	1.8115971	1.6208756	5.554687	-2.7306798	36000	0.0035723047	645.3672	-1.4041434e-06	-5.3661957	0.06427202	3.292889e-07	15.82424283027649
9	60.0	0.0	60.0	60.0	441.14285	2.3890991	1.5168778	5.4978456	-1.2750622	40000	-0.0037292652	677.7167	-2.76044e-06	-3.471218	0.05935747	2.0320272e-07	17.96228790283203
