Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60.0	0.0	60.0	60.0	433.125	-124.86352	29.399778	-57.576584	-184.13443	4000	0.0	18435.344	0.0	-911.59863	0.0	0.0	2.116278648376465
1	60.0	0.0	60.0	60.0	433.625	-121.216	29.263618	-54.202984	-180.59026	8000	0.0	17517.973	0.0	-939.4834	0.0	0.0	3.8047516345977783
2	60.0	0.0	60.0	60.0	432.625	-116.76364	29.23918	-50.58309	-176.8186	12000	0.0	16500.164	0.0	-946.51	0.0	0.0	5.506529092788696
3	60.0	0.0	60.0	60.0	429.25	-113.38221	29.245628	-46.87747	-172.91328	16000	0.0	15602.0	0.0	-941.14844	0.0	0.0	7.219513893127441
4	60.0	0.0	60.0	60.0	435.5	-109.15823	29.39966	-43.115406	-168.90956	20000	0.0	14812.5	0.0	-964.5112	0.0	0.0	8.937480211257935
5	60.0	0.0	60.0	60.0	429.75	-105.00335	29.388002	-39.207664	-164.73279	24000	0.0	13894.762	0.0	-945.4866	0.0	0.0	10.665547370910645
6	60.0	0.0	60.0	60.0	433.0	-100.67584	29.483913	-34.888493	-160.4893	28000	0.0	12974.568	0.0	-3235.3196	0.0	0.0	12.371863842010498
7	60.0	0.0	60.0	60.0	436.0	-84.27234	29.023087	-18.523373	-146.05716	32000	0.0	9863.56	0.0	-6066.4956	0.0	0.0	14.035293579101562
8	60.0	0.0	60.0	60.0	431.0	-40.862774	28.87304	26.103445	-103.6835	36000	0.0	4112.78	0.0	-1984.3076	0.0	0.0	15.757457494735718
9	60.0	0.0	60.0	60.0	429.25	-14.408466	28.711107	52.814606	-78.084656	40000	0.0	2326.745	0.0	-596.02844	0.0	0.0	17.688807487487793
