Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	77.5	4.3301272	80.0	70.0	694.0	-80.01673	45.0796	38.105133	-173.96193	4000	0.006481276	11186.632	0.055523004	-10738.533	0.015506833	0.13235769	2.308929204940796
1	102.5	38.97114	170.0	80.0	698.5	6.1039824	20.100012	47.93403	-48.4275	8000	-0.00083310326	535.1518	-0.0022369593	-291.54376	0.02292973	0.14955899	4.221769332885742
2	80.0	0.0	80.0	80.0	684.25	13.927967	18.054619	56.363285	-31.964296	12000	-0.004272627	159.60196	-0.002229866	-59.457138	0.031523563	0.0061312215	6.120300769805908
3	80.0	0.0	80.0	80.0	687.0	11.858697	17.211681	58.64856	-23.737427	16000	-0.0036915818	106.97051	-0.16266784	-25.659601	0.027436513	0.5138184	8.034002542495728
4	125.0	45.0	170.0	80.0	702.0	12.681035	18.104757	60.654984	-34.33645	20000	-0.005400941	283.04752	-0.046301655	-80.03723	0.015368466	0.08371599	9.945446968078613
5	80.0	0.0	80.0	80.0	684.75	15.514828	22.227278	74.10904	-17.28493	24000	-0.016364291	111.54377	-0.16263294	-51.864346	0.012804305	0.15344256	11.8709876537323
6	102.5	38.97114	170.0	80.0	698.0	12.582986	18.333376	60.336567	-29.211226	28000	-0.009423646	169.9154	-0.04098705	-27.970795	0.017715458	0.07849784	13.777085065841675
7	102.5	38.97114	170.0	80.0	699.25	13.383352	21.84217	69.76764	-26.951817	32000	-0.007281429	111.40299	-0.34214282	-8.791719	0.018859658	0.45311415	15.695931911468506
8	75.0	5.0	80.0	70.0	694.5	14.0765085	20.036196	66.66163	-21.161839	36000	-0.018909626	90.26153	-0.016811319	-30.637793	0.017885026	0.01602628	17.588797569274902
9	100.0	40.620193	170.0	70.0	696.25	10.715894	18.423027	58.74976	-26.209772	40000	-0.0069373613	114.5703	-0.0026872982	-10.781866	0.014258628	0.002278112	19.68031644821167
