Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	140.0	0.0	140.0	140.0	402.0	-133.22919	40.212196	-29.619799	-246.2867	4000	0.006925647	26399.848	0.270319	-24475.049	0.024201792	0.550626	1.785351037979126
1	141.25	3.3071892	150.0	140.0	425.25	18.479603	29.488998	90.47573	-73.75465	8000	0.0028557507	837.4197	0.031361397	-427.37698	0.010141633	0.29899657	3.2700345516204834
2	191.66667	115.530174	450.0	140.0	457.66666	27.908401	23.48756	88.613266	-46.75723	12000	-0.0017315735	1117.4619	0.017464666	-332.97958	0.014566917	0.7757491	4.722000360488892
3	136.0	38.262253	180.0	90.0	480.4	39.486538	16.732445	77.099174	-24.162497	16000	0.007344603	675.8108	0.048560895	-408.39313	0.030049806	0.29047808	6.146136283874512
4	191.42857	142.16977	520.0	90.0	499.57144	24.24225	14.143569	79.93597	-26.958813	20000	-0.001664719	1445.3387	-0.018303372	-367.6366	0.018718325	0.22834304	7.607057571411133
5	180.0	0.0	180.0	180.0	572.0	28.55498	16.819223	68.370544	-14.244395	24000	-0.009772393	354.40942	-0.006249543	-125.74044	0.039652202	0.019292781	9.044358730316162
6	267.5	145.83809	520.0	180.0	583.0	33.819588	15.479091	81.8162	-14.047151	28000	-0.005972801	983.82043	-0.005057196	-162.10017	0.038229134	0.015719991	10.48992109298706
7	190.0	17.320509	220.0	180.0	574.25	36.511517	19.449743	77.38031	-20.857555	32000	-0.0062303278	348.71313	-0.0056622904	-101.87162	0.05101119	0.031111633	11.928793907165527
8	256.0	132.30269	520.0	180.0	556.2	33.324455	15.922556	89.045395	-17.512054	36000	-0.0048994906	936.44586	-0.00087999017	-173.17313	0.040009134	0.012287201	13.380921840667725
9	167.5	45.483513	200.0	90.0	493.25	39.299545	21.083189	117.75701	-25.179878	40000	0.0018763982	768.0114	-0.006876965	-101.92469	0.03129194	0.051779844	15.03814435005188
