Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	407.5	131.22023	590.0	230.0	733.0	-0.19855198	0.6218843	1.287811	-2.3388011	4000	-0.038403634	3109.264	-0.002375301	-812.8036	1.7053341	0.0023307037	1.8126122951507568
1	427.5	207.65054	690.0	200.0	730.5	9.417877	0.0030803294	9.423831	9.378139	8000	0.008672707	4425.437	-0.0017424519	-229.4487	1.6373465	0.001076301	3.253828763961792
2	480.0	163.09506	600.0	200.0	819.5	12.159148	0.0030124437	12.165416	12.146528	12000	0.0010437742	2952.0293	-0.0018336447	-198.16995	1.653597	0.00081662484	4.683223247528076
3	362.5	100.84022	510.0	230.0	763.25	14.72258	0.0043422305	14.7288885	14.621343	16000	-0.0031912476	1740.0505	-0.0006322013	-87.089874	1.6467247	0.0013274408	6.156237363815308
4	255.0	68.007355	340.0	170.0	609.75	16.521723	0.0022419752	16.52654	16.511286	20000	-0.008398719	2101.3457	-0.0016630888	-113.28171	1.7051511	1.1606491e-05	7.612222194671631
5	385.0	206.57928	700.0	200.0	737.0	18.570976	0.003053663	18.578247	18.554993	24000	0.01706678	3743.2598	-0.0025062412	-200.49934	1.6599822	0.0019522621	9.05370807647705
6	560.0	239.06067	930.0	300.0	807.25	21.298265	0.0038909235	21.30859	21.282072	28000	-0.013694733	5178.0024	-0.0018432159	-226.42065	1.6276499	0.0006552809	10.541301727294922
7	318.0	236.50793	680.0	100.0	682.8	24.199638	0.0047957464	24.208454	24.177422	32000	-0.0087486915	2173.402	-0.00086559914	-75.393074	1.63904	0.00047299906	11.998079538345337
8	597.5	210.99467	940.0	400.0	864.5	25.969051	0.003253194	25.977129	25.955193	36000	0.0030554086	4639.3994	-0.0005053114	-177.92886	1.6440856	0.0009621477	13.451680183410645
9	445.0	330.49207	990.0	140.0	698.25	28.551754	0.0024336274	28.557682	28.540506	40000	-0.015923582	5293.5693	-0.00078049675	-91.61225	1.6992671	0.0010639969	15.075215578079224
