Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	360.0	111.57957	530.0	260.0	745.75	-0.18187997	0.67785037	1.349983	-2.399769	4000	-0.0455007	2587.1099	-0.0012727994	-496.63904	1.7038931	0.009952247	1.7954628467559814
1	307.5	115.40689	490.0	170.0	668.25	6.3717647	9.536743e-07	6.3717637	6.3717637	8000	-0.008103952	1871.3827	-0.00072422996	-153.64867	1.6686671	0.00662429	3.2439968585968018
2	347.5	83.77798	470.0	270.0	687.0	8.820397	0.0	8.820397	8.820397	12000	-0.03274248	2315.1504	-0.0014875717	-205.6268	1.6690185	0.0030172092	4.689953565597534
3	227.5	82.272415	370.0	180.0	648.5	11.613479	1.9073486e-06	11.613477	11.613477	16000	-0.0094932765	1442.7874	-0.00055217743	-91.41951	1.6814766	0.0020351228	6.172006368637085
4	467.5	260.42032	890.0	220.0	810.5	13.566504	0.116494186	13.578124	12.348511	20000	-0.009527728	3711.8433	-0.0022109132	-239.85962	1.6360891	0.0014332789	7.627805471420288
5	762.5	353.36774	1160.0	210.0	881.5	16.592108	0.10906195	16.599276	13.723246	24000	-0.023164079	11061.182	-0.00071122777	-449.4932	1.586812	0.0023457338	9.067593097686768
6	310.0	123.69317	500.0	200.0	617.25	20.520653	0.068271086	20.52351	18.870148	28000	-0.031323735	1743.4956	-0.0012161806	-85.83711	1.6560609	0.0021665378	10.495434045791626
7	490.0	165.98193	690.0	230.0	840.25	22.354124	0.15293337	22.367798	20.4281	32000	-0.02099012	2483.9944	-0.00055980124	-111.82512	1.6255786	0.00060008065	11.952756404876709
8	480.0	104.16333	600.0	330.0	880.75	24.23768	0.45380652	24.350903	22.416534	36000	-0.021990057	1832.6301	-0.002528139	-82.26481	1.6756463	0.0038178975	13.410629272460938
9	645.0	234.57408	1010.0	360.0	888.0	26.039923	0.4135321	26.123669	22.08192	40000	-0.009643003	4726.901	-0.0028382484	-237.23022	1.6229572	0.002056283	15.049362897872925
