Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60.0	0.0	60.0	60.0	429.625	-114.27593	26.687796	-52.02633	-167.25728	4000	0.0	15748.063	0.0	-15417.398	0.0	0.0	2.152231216430664
1	60.0	0.0	60.0	60.0	430.625	4.112217	13.715422	28.346384	-30.4475	8000	0.0	156.68657	0.0	-107.97395	0.0	0.0	3.8325212001800537
2	60.0	0.0	60.0	60.0	431.25	10.795698	15.836368	42.65848	-13.577145	12000	0.0	47.098038	0.0	-11.646248	0.0	0.0	5.518965721130371
3	60.0	0.0	60.0	60.0	431.625	10.839342	16.029531	44.40024	-11.882762	16000	0.0	35.68679	0.0	-7.7476153	0.0	0.0	7.196138381958008
4	60.0	0.0	60.0	60.0	432.875	11.367727	16.130392	47.412563	-8.662943	20000	0.0	26.92301	0.0	-4.5697856	0.0	0.0	8.908689022064209
5	60.0	0.0	60.0	60.0	432.875	11.464788	16.470171	50.262234	-7.806502	24000	0.0	23.29787	0.0	-3.1004844	0.0	0.0	10.57703161239624
6	60.0	0.0	60.0	60.0	435.75	11.65917	16.440046	51.18285	-7.157117	28000	0.0	20.285591	0.0	-2.4229856	0.0	0.0	12.268334865570068
7	60.0	0.0	60.0	60.0	435.75	11.297853	16.271282	52.571114	-6.915539	32000	0.0	17.869	0.0	-2.2704492	0.0	0.0	13.965466022491455
8	60.0	0.0	60.0	60.0	429.25	11.40657	16.48989	53.388058	-6.646156	36000	0.0	15.420781	0.0	-1.8387976	0.0	0.0	15.646192073822021
9	60.0	0.0	60.0	60.0	432.625	11.609894	16.645014	55.413067	-6.084194	40000	0.0	14.104456	0.0	-1.686163	0.0	0.0	17.5882670879364
