Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	143.33333	41.499664	170.0	60.0	535.1667	0.952278	1.4164366	3.7195377	-3.4310842	4000	0.0077512544	820.9302	-0.0028294781	-437.67743	0.056914065	0.0019621174	2.1084401607513428
1	147.14285	146.45471	500.0	60.0	518.5714	18.89658	6.4289894	27.338598	9.442235	8000	0.004272625	1104.2555	-0.0017276525	-201.78061	0.09233728	0.00065594877	3.761479377746582
2	125.0	75.88368	270.0	60.0	565.8333	20.796585	8.770079	37.610935	10.809954	12000	-0.0014494201	263.03638	-0.0019583427	-116.886444	0.09429731	0.003229573	5.45955491065979
3	148.0	44.0	170.0	60.0	596.0	20.632967	12.545387	40.46348	2.7586417	16000	0.019113924	554.9768	-0.0031704567	-199.20717	0.12772763	0.0006606493	7.157738447189331
4	180.0	145.73949	450.0	60.0	624.2	24.733122	17.365923	51.655884	1.9299222	20000	0.040129934	1005.6698	-0.0004675826	-430.22528	0.14248285	0.0018634383	8.844939470291138
5	332.0	329.93332	980.0	60.0	648.2	24.713581	19.14869	59.952793	-11.975407	24000	0.0028922418	5441.0825	-0.0030297125	-1612.5559	0.18584678	0.003979425	10.5397789478302
6	447.5	301.36148	950.0	170.0	758.25	44.744343	22.088028	75.48413	5.376973	28000	0.0003439912	4353.293	-0.0018793845	-841.1564	0.26924294	0.004752833	12.215774297714233
7	375.0	169.48451	600.0	170.0	739.75	50.8568	30.616337	90.09164	-0.45317358	32000	0.04941337	2146.1108	-0.0033381646	-595.45874	0.276491	0.003463287	13.90664792060852
8	392.5	154.81844	620.0	240.0	720.25	54.334255	27.434307	95.06536	5.0612054	36000	0.048620977	1472.8706	-0.0053818594	-252.78804	0.30147037	0.007475229	15.57174563407898
9	447.5	10.897247	460.0	430.0	855.5	49.87983	24.388975	91.82441	7.049611	40000	-0.010635834	2583.627	-0.0022513545	-880.5982	0.4376739	0.007914493	17.4920871257782
