Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	520.0	269.07248	900.0	140.0	812.0	-0.15278354	0.098013274	0.15634847	-0.436284	4000	0.021149807	8087.118	-0.0013580862	-831.8301	1.6789873	0.00035791425	2.1241843700408936
1	415.0	99.37303	580.0	320.0	864.5	7.2852745	0.0020572315	7.288111	7.2271695	8000	-0.0074518993	6779.243	-0.00096574053	-359.06287	1.7097497	1.9233543e-05	3.771933078765869
2	682.5	209.20982	1030.0	470.0	879.0	10.931114	0.0030659388	10.934487	10.893396	12000	0.0039430484	8383.936	-0.00044970214	-418.05237	1.7155683	-7.7269535e-05	5.435662746429443
3	302.5	123.364296	500.0	180.0	649.75	14.60591	0.0016775038	14.609764	14.605075	16000	0.009081177	1822.9642	-0.00083021633	-104.82483	1.7088692	0.00023325373	7.10755729675293
4	450.0	190.26297	730.0	230.0	642.25	16.73503	0.004564164	16.737167	16.717829	20000	-0.0015220791	3933.2266	-0.00066080876	-311.03223	1.7188674	-0.00031915258	8.799704551696777
5	452.5	71.19515	560.0	360.0	847.25	20.183285	0.00024407948	20.184345	20.180445	24000	-0.0005562231	2693.408	-0.00055736955	-144.62244	1.7548604	2.0885876e-05	10.444210529327393
6	502.5	426.75372	1210.0	120.0	726.25	22.695387	0.00034527224	22.695486	22.682495	28000	0.0487497	6780.4473	-0.0008623954	-243.81815	1.7188493	0.00024026833	12.11134958267212
7	607.5	338.11057	1150.0	250.0	811.0	25.986519	0.0007722947	25.98809	25.979055	32000	-0.0052419454	6597.118	-0.00043799356	-323.1171	1.7474971	-0.00031250203	13.785667657852173
8	407.5	155.9447	620.0	230.0	728.25	29.990023	0.0004095687	29.991728	29.983917	36000	-0.013558708	1963.1494	-0.00033091567	-88.52547	1.7392185	0.0002894749	15.430702209472656
9	622.5	258.97635	980.0	270.0	821.0	32.216244	0.0047051893	32.219414	32.209026	40000	-0.020986572	5706.6016	-0.00017440738	-229.12589	1.7525207	5.6426914e-05	17.33424997329712
