Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60.0	0.0	60.0	60.0	433.75	-114.210785	26.894302	-52.026596	-167.25876	4000	0.0	15761.293	0.0	-15464.927	0.0	0.0	2.1740055084228516
1	60.0	0.0	60.0	60.0	432.375	6.1247463	12.648485	25.47702	-25.671175	8000	0.0	122.48976	0.0	-77.57808	0.0	0.0	3.9287750720977783
2	60.0	0.0	60.0	60.0	433.125	10.120481	15.3136635	42.039547	-17.691025	12000	0.0	40.75841	0.0	-9.407643	0.0	0.0	5.6941704750061035
3	60.0	0.0	60.0	60.0	432.25	10.958912	16.052975	44.712044	-13.489209	16000	0.0	31.050003	0.0	-4.859552	0.0	0.0	7.454439401626587
4	60.0	0.0	60.0	60.0	434.5	11.424268	16.172043	46.760635	-8.964932	20000	0.0	27.494053	0.0	-3.732616	0.0	0.0	9.185827016830444
5	60.0	0.0	60.0	60.0	432.5	11.285465	16.18789	49.71154	-8.03931	24000	0.0	22.770206	0.0	-2.4848657	0.0	0.0	10.920846223831177
6	60.0	0.0	60.0	60.0	434.625	11.624184	16.485056	51.889194	-7.1303964	28000	0.0	21.209179	0.0	-2.381679	0.0	0.0	12.651840686798096
7	60.0	0.0	60.0	60.0	431.875	11.256111	16.300318	52.957542	-6.7295012	32000	0.0	18.48418	0.0	-1.8070605	0.0	0.0	14.367080211639404
8	60.0	0.0	60.0	60.0	433.375	11.385055	16.47738	54.413826	-5.3651915	36000	0.0	16.637192	0.0	-1.4623163	0.0	0.0	16.136869192123413
9	60.0	0.0	60.0	60.0	433.25	11.580352	16.6257	55.913837	-4.9184113	40000	0.0	15.413134	0.0	-1.5933177	0.0	0.0	18.150357484817505
