Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	312.5	146.00941	510.0	140.0	790.75	1.2223858	0.46282864	2.5291872	-0.43155396	4000	0.006640777	2063.172	-0.007618105	-726.0248	1.9524635	0.0057129287	2.1461753845214844
1	257.5	55.3963	350.0	210.0	685.25	15.000099	0.0031278518	15.000308	14.942545	8000	-0.006555617	846.8797	-0.0030620638	-143.5617	1.958446	0.0057554217	3.8342950344085693
2	282.5	139.88835	510.0	130.0	703.75	19.48855	0.0023310452	19.488722	19.449455	12000	-0.0011207163	1249.0684	-0.0012655742	-104.93141	1.9391345	0.0032403297	5.509870529174805
3	332.5	110.53845	510.0	230.0	785.75	23.472258	0.020419825	23.486547	23.37976	16000	-0.0022889823	1105.4955	-0.0020364567	-96.11897	1.9454688	0.0014254451	7.174516439437866
4	225.0	88.741196	370.0	130.0	719.25	27.434265	0.0140595725	27.43919	27.361326	20000	-0.0112331435	450.58145	-0.0038488433	-10.642204	1.9195399	0.0024655666	8.840193748474121
5	355.0	170.95322	530.0	100.0	814.75	28.874128	0.03853472	28.92096	28.81837	24000	0.0055475235	1390.653	-0.0028772242	-67.87286	1.9032059	0.0030483007	10.532706499099731
6	460.0	194.8076	710.0	260.0	834.75	31.896479	0.3451674	32.160793	31.362112	28000	0.009428959	2290.9893	-0.0018085428	-198.02145	1.9235437	0.00054048636	12.231281280517578
7	265.0	35.0	320.0	230.0	618.25	37.95621	0.20917328	38.015636	36.19862	32000	0.0121677965	433.17105	-0.00044376496	-30.367435	1.9255463	0.0019652317	13.916962385177612
8	235.0	72.972595	330.0	150.0	699.75	37.966217	1.857006	39.647846	35.441647	36000	0.001716651	483.89273	-0.0011923257	-79.098595	1.9014871	0.0002771468	15.586832523345947
9	265.0	36.40055	310.0	220.0	762.0	32.319954	4.1756673	37.30635	28.455236	40000	0.0016925111	461.5391	-0.0026456472	-87.62988	1.8892558	0.0032507307	17.482563257217407
