Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	193.33333	114.842896	450.0	140.0	487.83334	-135.46169	43.04648	0.56604385	-248.43675	4000	0.004965524	26873.328	0.026082914	-23459.812	0.02407888	2.1650462	1.7578651905059814
1	200.0	52.44044	290.0	160.0	644.25	-22.462708	42.216778	77.167786	-137.01437	8000	-5.5942684e-05	3793.7004	-0.0041677672	-2712.0889	2.1687074	0.011790719	3.2209746837615967
2	222.5	32.691742	270.0	180.0	618.75	25.03515	29.705284	110.44547	-70.51917	12000	-0.0073455423	1083.4016	-0.004906588	-316.72638	2.148067	0.02627985	4.702936410903931
3	170.0	43.358967	240.0	110.0	579.4	33.62324	23.35174	102.19049	-64.647896	16000	-0.003436476	911.8471	-0.0017423881	-216.17975	2.1826878	0.0010559482	6.149011135101318
4	147.5	27.726341	180.0	120.0	596.5	21.044857	21.69223	86.5743	-50.039753	20000	-0.0038706549	705.59753	-0.012235738	-215.58487	2.1797853	0.03671203	7.5857768058776855
5	205.0	85.29361	350.0	130.0	669.75	33.24494	20.709337	100.0721	-39.66985	24000	-0.0003003776	822.56445	-0.010582846	-128.45795	2.143896	0.02451434	9.053712129592896
6	245.0	85.29361	360.0	120.0	670.0	33.398117	18.433697	110.09314	-28.135353	28000	-0.0009505097	721.452	-0.007904658	-96.38713	2.1590548	0.01544494	10.499833106994629
7	222.5	34.186985	280.0	190.0	696.0	30.712421	17.63607	97.686165	-40.38969	32000	-0.003880132	641.9885	-0.0009999438	-76.147514	2.1624222	0.0012925608	11.966526508331299
8	190.0	23.452078	230.0	170.0	623.75	33.613422	20.87742	103.87311	-41.680378	36000	0.0051375516	830.73596	-0.0009784512	-136.31956	2.164638	0.0013653807	13.396210670471191
9	210.0	18.708286	230.0	180.0	638.0	32.277668	16.808447	85.445465	-33.428764	40000	-0.003377135	450.5144	-0.0033467214	-66.58103	2.1707392	0.0065989275	15.023126125335693
