Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	220.0	52.44044	280.0	140.0	539.5	-135.0684	42.417263	-30.30647	-254.3508	4000	0.00411202	28951.59	0.021551639	-26301.844	0.01822897	2.2424793	1.7981040477752686
1	265.0	76.64855	360.0	180.0	714.25	-18.59573	50.761105	77.84051	-135.36183	8000	-0.00037429854	4790.0664	-0.0027527064	-3679.88	2.1881793	0.0051521827	3.272833824157715
2	226.0	73.64781	320.0	140.0	603.6	29.547808	26.212109	97.714714	-65.17058	12000	0.0011230744	904.0471	-0.00028280728	-262.4276	2.180582	7.057014e-05	4.710960149765015
3	267.5	41.45781	330.0	230.0	630.0	33.51687	21.519308	94.65435	-68.288345	16000	5.032122e-05	772.28687	-0.00043739006	-138.37358	2.1828744	0.00012989395	6.174083471298218
4	240.0	46.36809	300.0	170.0	674.5	32.53097	19.71266	95.84694	-40.93182	20000	0.00041440688	781.90826	-0.0009824578	-138.577	2.1819642	0.0015695959	7.6245667934417725
5	220.0	97.7241	360.0	110.0	657.25	26.250101	31.811464	96.25154	-113.14871	24000	0.00069375336	1140.2861	-0.0005249344	-440.9395	2.1741643	0.00018375381	9.097269296646118
6	177.5	36.99662	240.0	150.0	644.25	36.427086	16.967371	107.92771	-35.968395	28000	0.0022465326	589.248	-0.00051104184	-206.97678	2.180863	-6.790133e-05	10.545661687850952
7	395.0	304.4257	920.0	180.0	763.5	27.511087	16.4461	75.75377	-29.593845	32000	-0.0012152493	3835.6133	-0.0005641803	-876.4961	2.1820762	-5.5410877e-05	11.983237266540527
8	230.0	33.16625	280.0	200.0	659.5	45.38158	15.071597	95.10301	-20.823568	36000	0.00013081543	666.8068	-0.00016817404	-199.05704	2.1822178	0.00011045519	13.42675518989563
9	227.5	43.229042	270.0	160.0	627.25	39.06821	15.767793	96.38176	-12.972948	40000	-0.0037564635	501.52536	-0.0020652488	-90.899956	2.1805434	0.0028509311	15.07675814628601
