Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	236.0	57.48043	350.0	200.0	626.4	-0.17879212	0.6268303	1.5552143	-2.3185766	4000	-0.028826341	1952.2632	0.028837785	-517.45844	1.6852474	0.5119892	1.809006690979004
1	200.0	44.72136	260.0	140.0	624.0	7.748727	0.11566531	7.796047	6.980648	8000	-2.1979213e-07	719.9782	-2.682209e-07	-7.7612762	2.1972253	-1.5205146e-07	3.2447304725646973
2	220.0	25.495098	250.0	180.0	623.75	7.951701	0.10178444	7.988012	6.9029856	12000	-1.937151e-06	776.44055	-1.0766089e-06	-7.2584	2.1972237	-2.4867057e-07	4.673337459564209
3	217.5	52.141636	300.0	160.0	674.25	8.12256	0.09955427	8.153521	7.0725513	16000	-5.271286e-07	1053.634	-4.3027103e-07	-7.0177155	2.1972234	-2.6065112e-07	6.126581430435181
4	227.5	32.691742	280.0	200.0	666.0	8.296888	0.04111162	8.313748	7.578208	20000	-1.2665987e-06	734.42413	-4.1746534e-07	-4.662628	2.1972234	1.0323524e-07	7.586258888244629
5	172.5	67.22165	270.0	110.0	622.5	8.417616	0.044095684	8.434874	7.7229686	24000	1.0579824e-06	773.9336	-7.9769234e-07	-4.53833	2.1972237	1.2814998e-07	9.033318758010864
6	280.0	156.04486	550.0	180.0	615.0	8.53404	0.049117684	8.552828	7.8668118	28000	-1.2665987e-06	1824.385	-1.5459955e-07	-9.318008	2.1972237	7.110834e-08	10.461412906646729
7	172.5	34.9106	230.0	140.0	645.25	8.687651	0.027495032	8.703431	8.01422	32000	-4.917383e-07	710.0792	-5.289912e-07	-3.3587036	2.197227	-3.0082464e-07	11.896770715713501
8	252.5	69.41721	370.0	190.0	688.25	8.778206	0.033472493	8.791141	8.038607	36000	3.7252903e-07	950.1949	-2.3841858e-07	-5.218384	2.1972237	1.0710954e-07	13.330111026763916
9	212.5	42.646805	250.0	140.0	618.25	8.888129	0.039374582	8.901121	8.121562	40000	8.828938e-07	845.7758	-4.3655746e-07	-3.9185944	2.1972241	-1.9913912e-07	14.94435977935791
