Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	397.5	156.58464	620.0	210.0	741.0	-0.16030923	0.67291206	2.0389678	-2.3996618	4000	-0.005596105	4286.5127	0.0055937506	-710.3171	1.6555271	0.5415906	1.7517285346984863
1	190.0	26.076809	220.0	150.0	590.2	7.8934093	0.15752783	7.9321947	6.223842	8000	-1.8402934e-06	742.53784	-9.275973e-07	-7.2940674	2.1972232	-4.2104722e-07	3.1790404319763184
2	192.5	39.60745	240.0	140.0	570.5	8.068173	0.084719524	8.082031	7.2818303	12000	1.0728836e-06	768.00714	-1.1213124e-06	-5.367996	2.197227	3.9738418e-07	4.6057562828063965
3	210.0	45.276924	260.0	160.0	617.0	8.191172	0.105500355	8.211299	7.437845	16000	-1.0989606e-06	903.6122	-7.599592e-07	-5.597069	2.1972258	-3.4213073e-08	6.052290916442871
4	222.5	61.390144	320.0	170.0	639.5	8.324223	0.072964154	8.334357	7.2918873	20000	-6.854534e-07	788.699	-5.0477684e-07	-4.8247833	2.1972258	1.8191338e-07	7.48026967048645
5	232.5	28.613808	270.0	200.0	688.0	8.434211	0.07502119	8.4442	7.6838408	24000	-1.7434359e-06	1019.5314	-1.235865e-06	-5.561142	2.1972256	7.277727e-08	8.953428506851196
6	237.5	68.328255	330.0	150.0	682.75	8.551208	0.07266825	8.560742	7.766238	28000	1.5497208e-06	966.7974	-1.2163073e-06	-4.4292374	2.1972234	3.1810998e-07	10.411410808563232
7	235.0	41.53312	280.0	180.0	632.0	8.654816	0.06642795	8.661436	7.5805936	32000	-3.6507845e-06	966.4906	-1.5515834e-06	-5.4996796	2.1972218	-4.2670965e-07	11.849317789077759
8	185.0	95.524864	350.0	120.0	558.25	8.750851	0.11250867	8.770143	7.6550198	36000	-4.991889e-06	827.16846	-1.411885e-06	-3.3690796	2.1972265	2.4700165e-07	13.269321203231812
9	205.0	28.722813	250.0	170.0	618.25	8.812313	0.17220528	8.85228	6.6443176	40000	-2.9169023e-06	836.6768	-5.289912e-07	-4.1813354	2.1972203	-1.670122e-07	14.850911617279053
