Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	100.0	40.620193	170.0	70.0	688.75	-79.95358	44.52304	39.112904	-167.64235	4000	0.009436818	11202.518	-0.009436311	-10508.074	0.017941322	2.1792803	2.3588430881500244
1	182.5	36.99662	210.0	120.0	614.5	15.818282	17.948072	68.657455	-50.82251	8000	3.7252903e-09	658.902	-2.719462e-07	-329.46744	2.1972237	-1.244545e-07	4.243200063705444
2	215.0	54.08327	280.0	130.0	620.25	25.180824	17.336985	79.119385	-41.05879	12000	-5.5879354e-08	442.02008	-2.1606684e-07	-126.3616	2.1972253	-8.21948e-08	6.31580114364624
3	210.0	56.124863	290.0	140.0	665.5	33.52574	14.181583	79.07495	-11.897801	16000	1.4901161e-08	326.74936	-2.0489097e-07	-70.82847	2.1972241	-9.477139e-08	8.449403524398804
4	222.5	38.97114	260.0	170.0	638.25	30.492908	13.641994	64.564545	-23.631239	20000	-2.682209e-07	388.41284	-1.7695129e-07	-96.96098	2.1972244	9.304286e-08	10.636290788650513
5	210.0	46.36809	240.0	130.0	610.5	33.710655	13.933015	71.955734	-15.321842	24000	-3.7252903e-07	359.8109	-1.4156103e-07	-81.3036	2.1972241	-1.295805e-07	12.805426597595215
6	215.0	75.0	340.0	140.0	634.5	28.346445	12.367251	68.63895	-9.137591	28000	-2.0861626e-07	333.0037	-8.940697e-08	-50.097286	2.1972246	1.1378527e-07	14.917890310287476
7	162.5	41.45781	230.0	120.0	613.0	31.070074	13.141169	66.56525	-10.549497	32000	1.4901161e-07	231.0781	-3.9301813e-07	-49.205925	2.1972253	-1.8572808e-07	16.869203567504883
8	222.5	24.874685	240.0	180.0	651.75	26.666222	10.756727	52.92365	-14.310205	36000	-1.3411045e-07	267.9717	-1.8579885e-07	-63.220802	2.1972244	-2.2351742e-08	18.789647817611694
9	170.0	14.142136	190.0	150.0	620.5	30.603195	11.2842	66.84693	-11.712147	40000	-1.1920929e-07	231.01152	-9.685755e-08	-40.236458	2.1972237	-1.8841028e-07	20.951772928237915
