Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	630.0	289.39594	1080.0	280.0	845.5	-0.15109283	0.08460407	0.07770633	-0.42344937	4000	0.011863083	9854.831	-0.011865765	-427.29633	1.684309	0.5129135	2.1037137508392334
1	232.5	83.47904	330.0	140.0	732.0	2.8001738	0.018793702	2.8063538	2.5982165	8000	5.2154064e-07	995.3208	-4.604459e-06	-16.995178	2.197224	-8.63731e-07	3.8094959259033203
2	245.0	51.234753	290.0	160.0	680.75	3.1539748	0.010832565	3.1560247	3.0456889	12000	1.296401e-06	1156.495	-4.5057386e-06	-19.989197	2.1972263	1.9377467e-07	5.517371654510498
3	395.0	348.31738	990.0	140.0	695.0	3.5141907	0.007733732	3.5153348	3.4184163	16000	2.3543835e-06	5621.5137	-2.5220215e-06	-39.46871	2.1972249	5.204678e-07	7.1998162269592285
4	287.5	111.21488	480.0	220.0	706.25	3.977576	0.010366696	3.98127	3.8824885	20000	-1.4603138e-06	1339.7815	-2.9373914e-06	-16.412628	2.1972222	-1.8729565e-06	8.904459714889526
5	227.5	43.80354	290.0	170.0	663.75	4.255875	0.008523891	4.256881	4.128609	24000	1.784414e-06	1249.1641	-3.825873e-06	-14.426956	2.1972203	-5.05805e-07	10.627219438552856
6	240.0	43.011627	300.0	180.0	674.25	4.503498	0.008433899	4.504612	4.4164705	28000	-4.373491e-06	1259.3262	-7.5744465e-06	-11.166168	2.197225	1.2126565e-06	12.292630434036255
7	245.0	53.15073	320.0	170.0	677.25	4.7129016	0.005592567	4.713494	4.640747	32000	-4.108995e-06	981.7238	-6.838236e-06	-8.42189	2.197218	-1.3142228e-06	13.9896719455719
8	167.5	34.9106	210.0	120.0	651.75	4.8884726	0.0011619279	4.888622	4.836406	36000	-4.6156347e-06	1045.406	-3.747642e-06	-7.7832184	2.1972308	8.053779e-07	15.71434473991394
9	190.0	41.231056	260.0	160.0	592.0	5.0518847	0.0022179564	5.052117	4.995573	40000	-3.8966537e-06	975.3213	-6.2063336e-06	-7.069214	2.1972194	-2.3210043e-07	17.63343119621277
