Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60.0	0.0	60.0	60.0	432.25	-114.411156	26.876743	-52.026596	-167.25876	4000	0.0	15755.707	-6.9849193e-10	-15330.73	0.0	2.1972237	2.299220323562622
1	285.0	58.94913	380.0	220.0	739.0	7.20129	21.305494	74.401146	-59.674004	8000	5.2154064e-08	1579.563	-8.380972e-06	-1063.4996	2.1972237	5.7816578e-08	4.129542589187622
2	230.0	39.37004	290.0	190.0	694.5	38.063038	12.568391	88.225746	-4.6599884	12000	1.6819686e-06	465.34796	-3.3322722e-06	-146.5766	2.197226	1.3228058e-06	5.894716024398804
3	215.0	51.234753	300.0	170.0	579.75	38.356293	17.116442	89.166	-18.753134	16000	-4.414469e-07	487.28113	-4.0028244e-06	-148.7001	2.197225	-2.3577809e-06	7.683675765991211
4	215.0	43.87482	280.0	170.0	703.25	31.843819	14.235993	77.39319	-16.009884	20000	1.7210841e-06	433.04208	-7.687369e-06	-78.4881	2.197224	-1.7464157e-07	9.429768085479736
5	212.5	71.54544	320.0	130.0	684.75	34.854618	11.500597	71.417725	-5.0442166	24000	-2.9802322e-08	408.2348	-9.16142e-06	-107.67747	2.197218	-2.0070077e-06	11.166719675064087
6	232.5	58.040936	320.0	160.0	675.5	29.427256	15.89855	79.82436	-13.204618	28000	-7.31647e-06	258.70657	-1.0017771e-05	-45.270195	2.197226	1.8638389e-07	12.887113571166992
7	192.5	47.631397	270.0	140.0	619.5	35.97972	13.325115	77.00319	-1.208129	32000	3.6973506e-06	456.53165	-1.2770295e-05	-73.247696	2.197218	2.225637e-07	14.649545907974243
8	265.0	105.0	420.0	150.0	667.75	36.190495	11.957872	90.88073	0.9219365	36000	-5.468726e-06	385.96582	-5.8390433e-06	-57.223896	2.1972284	9.3239555e-07	16.428683042526245
9	307.5	134.42004	540.0	220.0	684.5	33.183914	12.001161	72.3577	1.3888932	40000	-1.6324222e-05	657.2682	-1.30605185e-05	-160.0467	2.197227	-4.223585e-06	18.41313910484314
