Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	178.0	44.45222	250.0	140.0	497.8	-140.14473	39.54021	-30.772038	-249.76045	4000	0.008427496	29253.0	-0.00100745	2160767700.0	0.022445377	8.9474604e-05	1.6624953746795654
1	200.0	50.1996	250.0	140.0	517.0	-46466.19	0.0	-46466.19	-46466.19	8000	-0.0039630053	1862779100.0	-0.0005111574	-486733950.0	0.018455282	0.0018014109	3.0726311206817627
2	181.66667	59.55856	280.0	140.0	495.5	-40229.63	0.00390625	-40229.633	-40229.633	12000	-0.0040319706	1407447200.0	-0.00012211688	-367731460.0	0.016358513	0.00019432239	4.4841413497924805
3	152.5	26.339134	220.0	140.0	424.25	-34808.816	0.00390625	-34808.82	-34808.82	16000	-0.007726287	1092835500.0	-0.0024981187	-286928320.0	0.02097924	0.0058291247	5.904603481292725
4	212.0	59.799667	280.0	140.0	572.0	-30020.469	0.00390625	-30020.465	-30020.465	20000	-0.0036233005	780816000.0	-0.00015366246	-204013170.0	0.017801689	0.0003019623	7.341097831726074
5	181.66667	59.55856	280.0	140.0	495.83334	-25982.814	0.0	-25982.814	-25982.814	24000	-0.005795569	588060200.0	-0.004043822	-153642510.0	0.019720372	0.010776893	8.749905586242676
6	160.0	30.331501	220.0	140.0	492.6	-22478.904	0.005859375	-22478.898	-22478.898	28000	-0.0030223792	435804300.0	-0.00019841289	-113879620.0	0.017623493	0.0009880513	10.156958103179932
7	215.0	65.0	280.0	150.0	650.25	-19462.27	0.0	-19462.27	-19462.27	32000	-0.0027563912	326142240.0	-0.0003012335	-85227950.0	0.019023849	0.0018952906	11.570091485977173
8	200.0	65.72671	280.0	140.0	546.0	-16852.568	0.026581487	-16852.568	-16853.818	36000	-0.004707313	246219500.0	-0.00046582444	-64337096.0	0.02274715	0.0023855483	12.973495960235596
9	250.0	141.24448	480.0	120.0	646.25	-14585.157	0.0009765625	-14585.158	-14585.158	40000	-0.0034924536	183427730.0	-0.0001978554	-47930804.0	0.021537282	0.0005389859	14.486383438110352
